student_id,gender,study_hours_per_week,attendance_rate,sleep_hours,previous_gpa,extracurricular_hours,parental_support,internet_access,study_group,final_score,grade
342,Female,18.0,83.2,10.0,2.41,3.2,Medium,Yes,Yes,73.0,B
343,Female,2.4,89.0,4.7,3.43,4.6,Low,Yes,No,57.8,C
344,Female,14.7,56.4,5.4,2.67,2.3,Low,Yes,No,57.9,C
345,Female,27.0,88.0,5.4,2.74,0.4,Medium,Yes,No,75.1,B
346,Female,15.8,83.9,4.9,3.27,1.0,Medium,Yes,Yes,67.6,C
347,Female,15.4,84.5,8.6,2.79,4.7,High,Yes,No,76.2,B
348,Male,18.3,92.1,9.9,2.76,2.0,Low,Yes,Yes,78.1,B
349,Female,20.4,84.3,6.2,2.91,1.5,Medium,Yes,Yes,75.1,B
350,Male,3.0,73.6,5.1,3.38,7.4,Low,Yes,No,58.6,C
351,Female,4.9,83.6,3.9,3.89,1.7,Medium,No,No,63.3,C
352,Male,16.3,85.7,6.5,3.25,10.9,Medium,Yes,No,75.2,B
353,Female,10.7,86.1,6.4,3.38,3.7,Medium,Yes,No,72.1,B
354,Female,22.9,86.6,6.0,2.78,6.5,Medium,No,No,75.7,B
355,Male,13.1,95.4,7.1,2.48,1.8,Medium,Yes,Yes,71.9,B
356,Female,3.4,74.1,7.3,3.29,5.5,Low,Yes,Yes,57.3,C
357,Female,7.4,86.8,7.2,3.0,1.0,Medium,Yes,No,64.7,C
358,Female,0.0,97.9,6.4,2.05,1.2,Medium,Yes,No,60.0,C
359,Male,13.6,67.7,5.4,2.7,4.1,Medium,Yes,Yes,70.5,B
360,Female,13.9,86.8,7.7,2.85,0.4,Medium,Yes,Yes,77.4,B
361,Female,12.5,79.1,,2.59,1.4,High,Yes,Yes,78.1,B
362,Male,21.5,81.3,8.0,3.79,3.6,Medium,Yes,Yes,81.8,B
363,Male,22.2,76.0,7.8,3.19,8.9,Low,Yes,No,77.0,B
364,Male,14.0,83.3,5.0,3.72,0.9,Medium,Yes,Yes,67.5,C
365,Female,2.2,100.0,4.9,3.06,5.7,Low,Yes,No,65.9,C
366,Male,18.7,72.4,5.8,2.95,2.3,Medium,Yes,No,64.3,C
367,Female,18.3,73.3,5.4,2.34,13.8,High,Yes,No,70.8,B
368,Female,16.9,72.0,7.8,2.91,6.9,High,No,No,83.1,B
369,Male,20.9,100.0,7.3,2.91,2.7,Medium,Yes,Yes,80.3,B
370,Female,8.0,80.4,8.2,2.08,4.9,Low,Yes,Yes,57.0,C
371,Female,27.1,84.7,7.3,2.58,0.1,High,Yes,Yes,81.2,B
372,Male,9.2,81.0,7.1,2.71,6.2,Low,Yes,Yes,62.5,C
373,Male,19.5,75.6,8.4,3.15,1.1,Medium,Yes,Yes,70.4,B
374,Male,4.9,82.6,7.4,3.18,4.6,High,Yes,Yes,81.0,B
375,Male,9.4,100.0,6.9,2.55,2.7,Medium,Yes,Yes,75.0,B
376,Male,24.1,98.9,8.7,3.18,1.3,Low,Yes,Yes,81.5,B
377,Female,13.4,76.5,6.9,2.79,8.2,Medium,No,No,62.8,C
378,Male,20.0,91.5,6.4,1.18,0.1,Medium,Yes,Yes,63.5,C
379,Male,16.4,76.7,5.7,2.61,1.7,Low,Yes,Yes,72.0,B
380,Female,14.4,67.2,7.7,3.55,1.3,Medium,Yes,No,71.8,B
381,Female,23.2,95.2,8.4,1.89,0.9,Medium,Yes,Yes,59.6,C
382,Female,13.6,96.6,6.7,2.97,2.9,Medium,Yes,No,83.5,B
383,Female,4.3,95.5,8.5,3.85,2.9,Low,No,No,67.8,C
384,Male,10.2,80.3,4.2,2.44,2.5,High,Yes,No,66.5,C
385,Male,18.3,83.3,6.7,2.9,3.4,Medium,No,Yes,74.4,B
386,Female,17.4,92.5,6.7,2.12,1.0,High,Yes,No,73.4,B
387,Female,5.6,88.9,5.9,3.88,9.7,Medium,Yes,No,76.4,B
388,Female,10.7,81.1,9.9,2.85,0.2,Low,Yes,Yes,65.4,C
389,Male,11.5,68.8,6.7,2.93,8.1,Medium,No,Yes,58.4,C
390,Female,12.8,86.1,6.3,3.71,0.2,Medium,Yes,Yes,76.1,B
391,Female,6.7,95.8,6.8,3.3,1.3,Medium,Yes,No,76.8,B
392,Male,11.2,73.0,4.2,2.37,2.1,High,Yes,Yes,61.9,C
393,Female,10.6,91.4,,2.51,0.7,High,Yes,Yes,67.1,C
394,Female,19.6,88.3,8.1,3.2,1.8,High,Yes,No,84.8,B
395,Male,19.9,92.5,6.0,2.53,1.6,Medium,Yes,No,69.6,C
396,Male,14.1,93.7,5.7,1.63,3.8,Medium,Yes,Yes,63.3,C
397,Female,12.6,78.1,8.5,2.87,1.5,Medium,Yes,Yes,68.3,C
398,Male,15.8,68.8,8.5,2.01,1.9,Medium,Yes,No,63.0,C
399,Male,10.1,79.7,7.5,3.87,1.2,High,Yes,No,68.5,C
400,Male,8.1,93.9,6.2,3.01,13.6,High,Yes,No,72.1,B
401,Male,9.4,79.6,6.5,2.36,0.8,Medium,Yes,No,63.2,C
402,Female,11.2,78.1,5.8,2.48,1.9,High,Yes,Yes,68.8,C
403,Female,8.0,66.8,5.5,1.77,3.0,High,No,Yes,60.6,C
404,Male,16.0,100.0,5.4,2.24,1.4,Medium,Yes,Yes,78.7,B
405,Female,19.4,93.3,6.0,3.51,0.1,High,Yes,Yes,88.4,A
406,Female,5.5,92.7,5.5,4.0,2.6,Low,Yes,No,73.5,B
407,Male,15.2,94.7,4.8,3.34,1.9,Low,Yes,No,69.8,C
408,Female,13.7,90.8,7.1,2.84,0.1,Medium,Yes,Yes,68.9,C
409,Male,17.0,82.6,7.1,2.64,2.6,Medium,Yes,No,69.8,C
410,Female,14.9,83.4,9.0,2.33,0.9,Medium,Yes,Yes,72.1,B
411,Female,6.3,80.7,5.9,4.0,4.0,High,Yes,No,77.6,B
412,Female,7.4,100.0,7.2,2.79,0.1,Medium,Yes,Yes,72.9,B
413,Male,15.2,90.6,7.2,4.0,1.7,Medium,Yes,No,77.9,B
414,Female,21.2,80.4,6.5,3.74,1.0,Medium,Yes,Yes,82.2,B
415,Male,1.7,89.7,7.8,1.86,0.2,Low,Yes,No,60.7,C
416,Male,17.1,74.9,7.8,2.5,6.5,High,Yes,No,75.7,B
417,Male,22.1,100.0,7.2,2.5,1.9,Medium,Yes,No,75.3,B
418,Female,14.1,78.4,6.5,2.85,1.4,High,No,No,62.9,C
419,Male,18.3,90.0,6.3,2.86,4.7,Medium,Yes,Yes,70.9,B
420,Female,10.8,95.7,5.0,4.0,1.8,Low,No,No,65.4,C
421,Female,14.3,88.8,5.8,2.25,3.2,Low,Yes,Yes,66.0,C
422,Male,5.3,85.9,6.0,3.04,1.9,Low,Yes,No,64.6,C
423,Male,0.9,85.1,5.3,3.27,1.7,High,Yes,Yes,61.7,C
424,Male,20.7,84.4,7.4,2.9,3.3,Medium,Yes,Yes,73.3,B
425,Female,9.1,79.2,8.4,2.97,0.1,Medium,Yes,No,68.0,C
426,Female,12.3,80.5,5.6,2.27,1.9,Low,Yes,Yes,57.5,C
427,Male,6.7,99.8,7.2,2.96,9.5,High,No,No,72.5,B
428,Female,6.5,83.9,5.5,3.21,0.4,Low,Yes,Yes,62.9,C
429,Male,14.0,77.1,6.4,3.1,5.3,High,Yes,No,69.4,C
430,Female,10.6,79.8,5.9,3.24,0.8,High,Yes,No,71.0,B
431,Female,17.3,96.0,7.6,3.75,6.4,Medium,Yes,No,82.5,B
432,Female,17.7,91.8,5.9,3.46,0.5,Medium,Yes,Yes,73.2,B
433,Female,16.9,90.6,8.1,2.94,1.5,Low,Yes,Yes,71.2,B
434,Female,16.4,82.4,6.5,2.2,2.7,Medium,Yes,Yes,69.8,C
435,Male,24.5,90.7,6.0,2.54,11.9,High,Yes,Yes,77.5,B
436,Male,8.6,78.6,5.2,2.77,0.9,Medium,Yes,No,55.5,C
437,Male,14.7,82.4,7.1,3.05,4.3,High,No,Yes,64.9,C
438,Male,21.8,94.7,8.0,2.61,1.4,Medium,Yes,Yes,74.8,B
439,Female,22.6,93.7,7.2,2.34,4.9,Low,Yes,Yes,66.6,C
440,Female,6.5,75.2,9.7,2.19,3.2,High,No,No,59.2,C
441,Female,13.1,76.4,8.7,1.91,0.3,Medium,Yes,Yes,71.5,B
442,Male,23.1,86.1,6.4,2.76,2.4,Low,Yes,Yes,66.2,C
443,Female,18.0,100.0,6.4,2.02,0.5,Medium,Yes,No,68.0,C
444,Male,16.2,65.8,7.4,2.3,1.0,Medium,Yes,Yes,74.5,B
445,Male,13.7,87.8,5.7,2.66,2.6,High,No,No,68.9,C
446,Female,12.7,71.2,8.3,2.1,0.6,Low,Yes,Yes,58.9,C
447,Female,16.7,78.7,7.3,3.13,8.1,High,Yes,No,75.4,B
448,Female,13.5,81.4,7.1,3.34,1.8,Medium,No,No,69.5,C
449,Male,14.7,80.8,7.7,2.57,2.3,Medium,Yes,No,75.7,B
450,Female,15.5,79.7,,2.64,2.4,Low,No,No,60.3,C
451,Male,10.9,85.1,7.0,3.22,1.5,High,Yes,No,69.6,C
452,Female,18.2,79.6,6.7,2.47,1.3,Medium,Yes,No,61.8,C
453,Female,32.5,70.4,8.8,2.43,3.0,Medium,Yes,No,76.2,B
454,Male,4.3,92.8,8.1,3.62,6.0,Low,Yes,No,63.1,C
455,Male,16.9,92.5,6.4,3.43,4.2,Medium,Yes,No,74.3,B
456,Male,10.4,93.4,6.8,3.26,0.6,High,Yes,No,70.4,B
457,Female,18.5,69.6,7.1,3.46,6.7,Medium,Yes,Yes,79.9,B
458,Male,15.3,88.0,7.3,1.71,3.7,High,Yes,Yes,67.0,C
459,Female,19.6,91.8,5.0,3.71,6.5,Low,Yes,Yes,79.2,B
460,Female,22.1,74.7,4.8,3.14,1.3,Low,Yes,Yes,62.8,C
461,Female,16.2,85.1,5.6,3.51,6.7,Medium,Yes,No,75.4,B
462,Male,21.8,83.8,5.5,3.13,0.7,High,No,Yes,68.9,C
463,Female,0.9,100.0,6.0,2.93,4.9,Medium,Yes,No,64.2,C
464,Male,24.5,100.0,7.6,2.73,1.8,Medium,No,No,84.4,B
465,Female,17.3,68.4,6.6,3.12,0.0,Medium,Yes,No,72.7,B
466,Female,21.5,100.0,,2.71,8.1,Medium,Yes,No,77.2,B
467,Female,7.7,75.8,5.2,3.42,6.9,Medium,Yes,Yes,83.2,B
468,Female,10.0,94.8,6.2,1.95,0.7,High,Yes,Yes,63.6,C
469,Male,15.9,94.7,7.6,2.58,1.1,Medium,Yes,No,76.6,B
470,Male,14.9,75.0,7.6,4.0,4.3,Medium,Yes,No,68.9,C
471,Male,16.7,89.9,5.9,2.52,4.3,Medium,No,No,64.8,C
472,Male,21.5,83.9,7.0,2.76,3.9,Medium,No,No,63.4,C
473,Male,4.4,90.5,9.7,2.37,0.2,Medium,Yes,No,65.5,C
474,Male,20.8,87.3,6.8,3.1,0.7,High,Yes,No,78.1,B
475,Male,15.0,97.0,5.9,2.46,0.4,Low,Yes,No,64.8,C
476,Male,13.8,85.8,6.6,2.79,2.1,High,Yes,No,76.9,B
477,Male,6.2,83.3,6.9,3.41,0.1,Low,Yes,Yes,63.7,C
478,Female,18.0,96.0,6.6,2.48,0.4,High,Yes,Yes,77.3,B
479,Female,0.5,90.8,6.8,3.37,2.7,Low,Yes,Yes,68.8,C
480,Male,18.9,92.3,4.9,3.39,0.5,High,Yes,No,71.4,B
481,Male,6.0,78.4,5.5,3.53,3.9,Medium,No,No,59.8,C
482,Male,15.3,74.5,6.6,2.98,0.3,Low,Yes,Yes,66.8,C
483,Female,14.3,79.3,6.6,4.0,7.2,Medium,No,Yes,76.7,B
484,Male,22.0,78.8,6.1,3.53,0.8,Medium,Yes,No,82.1,B
485,Male,13.9,92.9,6.6,3.09,0.9,Medium,Yes,Yes,72.7,B
486,Male,10.8,94.8,6.9,2.37,0.0,Medium,No,No,61.1,C
487,Male,12.0,83.4,8.0,2.84,4.1,High,Yes,Yes,70.0,B
488,Male,22.6,99.3,6.7,3.76,1.9,High,Yes,Yes,88.6,A
489,Female,18.2,98.7,7.3,3.93,13.3,Medium,Yes,No,83.1,B
490,Female,12.7,87.4,6.1,3.79,0.4,High,Yes,Yes,77.2,B
491,Female,13.6,76.8,7.5,3.37,5.8,Medium,Yes,Yes,73.1,B
492,Female,5.6,100.0,7.3,2.15,0.6,Low,Yes,Yes,64.9,C
493,Female,17.3,84.4,7.9,3.19,2.9,Medium,Yes,Yes,73.3,B
494,Male,4.4,86.3,7.7,2.16,1.1,Low,Yes,Yes,55.8,C
495,Female,19.5,81.6,7.6,2.01,2.0,Medium,Yes,No,69.2,C
496,Female,15.8,76.1,6.7,3.04,0.4,Medium,Yes,Yes,57.0,C
497,Male,29.3,70.3,7.1,3.21,3.2,Medium,Yes,Yes,76.2,B
498,Female,8.4,91.3,8.2,3.44,1.6,Low,No,Yes,61.6,C
499,Male,14.4,77.2,6.0,3.2,0.0,High,Yes,No,77.3,B
500,Male,25.8,100.0,6.0,3.22,1.0,Medium,Yes,No,78.5,B
501,Female,22.1,74.1,7.0,2.31,0.0,High,Yes,No,68.5,C
502,Female,10.8,72.4,7.3,2.84,0.5,Medium,No,No,60.7,C
503,Female,16.3,90.1,5.7,2.0,5.2,Medium,Yes,Yes,65.5,C
504,Male,15.0,100.0,6.7,1.7,1.2,Medium,Yes,No,64.3,C
505,Female,16.7,85.6,6.7,3.34,4.0,High,No,Yes,75.4,B
506,Female,10.8,90.7,3.9,2.45,4.4,Low,Yes,No,59.9,C
507,Male,14.5,66.6,6.5,3.42,0.1,Low,No,No,59.4,C
508,Female,5.4,78.2,6.6,3.57,8.3,High,Yes,Yes,68.9,C
509,Male,15.8,74.3,6.6,2.53,1.5,High,Yes,No,63.7,C
510,Male,17.7,66.0,8.6,3.25,4.7,Medium,No,No,68.2,C
511,Male,13.6,86.2,5.2,2.5,1.5,Low,No,No,60.4,C
512,Female,5.3,62.6,5.7,1.79,1.3,Low,Yes,Yes,44.4,D
513,Male,20.9,71.8,3.4,2.97,4.3,Medium,Yes,Yes,73.9,B
514,Male,17.2,79.6,6.2,2.62,7.9,High,Yes,Yes,77.5,B
515,Male,10.6,76.7,6.3,2.64,2.4,Medium,Yes,No,68.6,C
516,Male,13.3,89.0,6.1,4.0,0.1,Low,Yes,No,74.2,B
517,Male,6.0,88.1,8.2,1.98,2.0,Low,Yes,Yes,63.0,C
518,Female,8.8,93.9,7.9,3.13,1.0,Medium,Yes,No,80.7,B
519,Male,11.8,92.5,6.9,2.3,2.3,Medium,Yes,Yes,66.9,C
520,Female,22.4,96.4,6.3,3.44,1.6,Low,Yes,No,71.9,B
521,Female,11.2,85.0,8.1,3.08,0.8,Low,Yes,No,60.1,C
522,Male,18.8,88.0,6.8,3.13,0.1,Medium,Yes,No,81.9,B
523,Male,11.8,90.1,5.7,2.33,0.1,Low,Yes,Yes,71.4,B
524,Female,16.5,86.4,4.6,2.44,3.6,Medium,Yes,Yes,64.6,C
525,Male,14.2,81.0,6.2,3.46,1.3,Low,Yes,Yes,66.9,C
526,Male,20.2,81.7,7.8,3.96,8.0,Medium,Yes,No,79.6,B
527,Female,11.8,76.8,9.8,3.19,9.7,High,Yes,No,81.2,B
528,Female,5.6,89.2,6.9,2.36,3.9,High,Yes,Yes,62.0,C
529,Female,6.7,84.1,5.8,3.1,2.6,High,Yes,No,60.2,C
530,Male,11.8,78.4,5.3,4.0,0.9,Medium,Yes,No,81.9,B
531,Female,7.5,78.4,7.5,2.96,1.7,Low,Yes,No,64.0,C
532,Female,17.5,72.9,4.5,3.78,2.4,Medium,Yes,No,74.6,B
533,Male,12.2,94.8,7.5,2.46,6.4,High,Yes,No,72.0,B
534,Female,29.2,85.8,7.9,2.87,3.0,Low,Yes,Yes,79.9,B
535,Male,4.6,76.4,7.4,3.27,0.9,Medium,Yes,Yes,59.7,C
536,Male,16.2,93.1,6.5,3.14,1.5,Medium,Yes,No,70.0,B
537,Female,8.2,79.4,7.5,2.44,9.8,Low,Yes,No,62.6,C
538,Male,12.0,70.9,7.0,2.41,0.7,High,Yes,No,55.3,C
539,Male,15.8,95.2,5.8,3.49,4.1,Medium,Yes,Yes,76.4,B
540,Female,1.0,79.6,9.2,3.61,0.5,Medium,Yes,Yes,67.1,C
541,Female,16.4,80.9,6.3,3.81,0.6,High,Yes,No,76.5,B
542,Female,26.4,85.4,7.8,3.98,6.8,Low,Yes,No,79.7,B
543,Female,12.3,96.4,3.7,2.98,1.8,Low,Yes,Yes,63.3,C
544,Female,16.6,85.2,8.5,2.71,2.0,Medium,Yes,Yes,64.7,C
545,Male,21.1,73.0,8.7,3.71,1.2,Medium,Yes,No,77.9,B
546,Male,14.0,90.4,6.8,3.33,1.4,Medium,Yes,No,72.0,B
547,Male,11.5,80.2,7.5,2.31,1.8,Low,Yes,No,55.1,C
548,Male,1.3,100.0,7.5,2.28,0.8,High,Yes,No,65.9,C
549,Female,18.8,85.0,6.0,3.2,0.6,Medium,No,No,67.8,C
550,Male,14.3,62.6,7.5,2.79,4.6,Medium,Yes,Yes,65.0,C
551,Male,8.9,88.6,5.7,2.88,1.2,Medium,Yes,No,56.9,C
552,Male,15.8,100.0,6.0,3.54,1.9,High,Yes,No,83.3,B
553,Male,11.5,100.0,8.3,3.36,9.5,Medium,Yes,No,71.9,B
554,Female,11.8,100.0,8.1,3.7,0.1,High,Yes,No,80.5,B
555,Male,18.6,74.8,5.9,1.74,0.9,Low,Yes,No,55.5,C
556,Male,7.0,94.1,5.8,3.05,2.2,Medium,Yes,No,66.3,C
557,Male,21.3,77.8,6.0,3.32,6.1,High,Yes,Yes,84.7,B
558,Male,6.6,87.2,7.8,1.98,4.7,Medium,Yes,No,64.5,C
559,Female,11.0,72.3,5.5,2.51,6.4,Medium,Yes,Yes,69.6,C
560,Male,26.5,78.6,7.3,2.4,1.0,High,No,Yes,74.3,B
561,Male,21.8,78.2,7.8,2.91,2.4,Low,Yes,No,72.2,B
562,Male,15.6,94.0,6.7,3.88,7.8,Medium,Yes,No,71.8,B
563,Female,9.4,93.0,8.1,4.0,5.5,High,Yes,No,79.0,B
564,Female,11.8,87.8,6.4,2.41,2.1,High,Yes,No,67.9,C
565,Female,15.4,71.5,6.5,3.22,0.3,High,Yes,No,77.3,B
566,Female,15.2,81.9,5.5,3.24,2.6,High,Yes,Yes,73.1,B
567,Female,14.5,77.5,8.1,3.13,0.1,Low,Yes,No,68.5,C
568,Male,14.8,93.7,5.8,3.14,5.0,High,Yes,No,77.5,B
569,Male,13.7,96.8,7.3,3.08,8.1,Medium,No,No,76.4,B
570,Female,6.3,95.6,6.7,3.91,4.1,Medium,Yes,No,73.8,B
571,Male,11.9,77.4,5.4,3.56,0.9,Medium,No,No,69.3,C
572,Female,20.5,57.6,6.0,2.26,2.0,High,No,Yes,55.7,C
573,Male,6.8,67.3,8.6,3.38,2.2,Medium,Yes,No,59.0,C
574,Female,13.9,99.2,7.1,3.44,1.3,High,No,Yes,66.3,C
575,Female,10.1,81.0,5.5,3.09,6.2,Low,No,Yes,65.9,C
576,Male,15.7,77.5,7.2,3.58,1.3,Low,Yes,Yes,74.7,B
577,Female,12.7,100.0,6.6,3.01,5.8,Medium,Yes,Yes,79.3,B
578,Female,23.9,97.7,10.0,3.02,2.4,Low,Yes,Yes,76.8,B
579,Female,18.0,85.2,7.2,2.97,0.4,Medium,Yes,No,69.8,C
580,Male,7.1,82.1,6.3,1.69,6.5,Medium,Yes,Yes,59.7,C
581,Male,19.0,83.7,8.6,2.85,2.1,Medium,Yes,No,79.9,B
582,Female,10.4,87.3,4.4,2.5,0.3,Low,Yes,No,68.1,C
583,Male,11.5,100.0,6.9,2.19,6.5,Low,Yes,Yes,70.7,B
584,Male,16.9,89.2,9.4,3.76,4.5,Medium,Yes,Yes,83.1,B
585,Female,12.0,92.3,6.6,3.2,1.0,Medium,Yes,No,77.7,B
586,Female,20.4,96.7,4.5,2.88,1.6,Low,Yes,No,69.7,C
587,Male,10.4,73.3,6.3,2.56,7.5,Low,Yes,No,59.3,C
588,Male,11.3,92.5,8.7,3.08,1.3,Low,Yes,Yes,70.2,B
589,Male,11.1,82.1,,3.49,2.6,Medium,Yes,No,67.2,C
590,Male,11.6,59.8,5.7,2.4,4.8,Low,Yes,No,55.9,C
591,Female,21.6,63.7,5.9,2.9,1.3,Medium,No,No,59.3,C
592,Male,18.8,74.8,6.1,3.42,5.9,Medium,Yes,Yes,79.8,B
593,Male,25.3,90.3,7.3,1.74,3.6,Medium,Yes,No,73.4,B
594,Female,28.6,86.1,8.5,2.87,2.4,Medium,Yes,Yes,87.2,A
595,Male,8.8,86.8,8.2,2.64,2.1,Medium,Yes,No,59.5,C
596,Male,15.4,100.0,7.4,2.82,5.6,High,Yes,No,86.3,A
597,Female,7.9,72.3,5.1,2.6,4.1,Medium,Yes,No,53.9,D
598,Female,10.3,84.7,5.1,2.98,1.9,Medium,Yes,Yes,62.9,C
599,Female,11.2,88.0,7.5,4.0,1.3,High,Yes,No,76.1,B
600,Female,8.7,77.6,5.1,2.71,1.4,Medium,Yes,Yes,69.9,C
601,Male,8.7,85.3,6.5,3.08,3.0,Medium,Yes,No,68.9,C
602,Female,14.1,69.0,7.2,4.0,0.1,High,Yes,No,74.6,B
603,Female,7.7,99.1,5.3,2.57,0.5,Low,No,No,55.3,C
604,Female,20.1,78.2,5.5,3.99,8.2,High,Yes,No,75.4,B
605,Female,9.5,100.0,6.7,2.9,4.6,Medium,No,No,72.2,B
606,Female,31.9,84.7,7.5,3.97,4.2,Medium,Yes,No,90.6,A
607,Female,12.3,95.3,8.2,3.35,2.3,Medium,Yes,No,81.0,B
608,Male,15.4,84.5,7.6,3.08,1.0,Low,Yes,No,70.7,B
609,Female,7.2,84.7,6.9,2.86,2.7,High,Yes,No,57.1,C
610,Male,25.2,79.2,5.8,2.53,0.1,Low,Yes,No,62.5,C
611,Female,21.7,86.2,5.4,2.95,2.1,Medium,No,No,71.5,B
612,Female,16.8,88.2,6.1,3.44,0.0,Medium,Yes,Yes,74.0,B
613,Female,6.9,77.2,7.3,2.89,1.4,High,Yes,No,64.8,C
614,Female,16.3,83.7,7.2,2.71,12.7,Low,Yes,Yes,66.1,C
615,Male,8.3,78.9,4.1,2.75,1.2,High,Yes,Yes,70.7,B
616,Female,23.8,100.0,5.8,3.5,3.5,Medium,Yes,No,83.6,B
617,Female,19.9,84.1,8.4,3.64,1.5,High,Yes,No,83.6,B
618,Male,15.6,100.0,6.9,2.5,0.1,Low,Yes,No,65.3,C
619,Male,0.4,83.0,5.0,2.5,0.0,Low,Yes,No,55.2,C
620,Male,9.1,87.6,9.9,3.13,0.5,Medium,Yes,Yes,66.5,C
621,Female,19.1,71.8,6.8,3.82,0.8,Low,Yes,Yes,72.7,B
622,Male,22.3,80.5,7.3,3.59,1.5,Medium,Yes,Yes,67.8,C
623,Female,21.7,87.1,7.3,2.15,0.8,Low,Yes,Yes,61.5,C
624,Male,5.4,100.0,6.3,2.74,2.3,High,No,No,64.6,C
625,Female,16.8,87.2,5.9,2.34,4.5,High,No,No,78.0,B
626,Male,21.1,98.8,9.6,2.74,0.1,High,Yes,No,72.3,B
627,Female,5.0,91.4,8.1,3.86,0.4,High,Yes,Yes,71.6,B
628,Male,15.0,100.0,7.9,2.05,8.6,High,Yes,No,74.9,B
629,Female,16.6,84.4,7.5,1.93,3.9,Medium,Yes,Yes,75.8,B
630,Female,13.2,100.0,5.5,2.4,0.5,Medium,Yes,No,69.1,C
631,Female,3.9,80.1,8.5,3.07,0.2,High,Yes,No,71.2,B
632,Female,13.0,77.3,5.7,3.27,5.8,High,Yes,Yes,72.8,B
633,Male,13.0,72.9,7.2,3.16,7.1,High,No,No,66.4,C
634,Male,14.1,100.0,4.7,3.61,2.2,High,Yes,No,79.1,B
635,Male,11.6,93.2,4.1,1.84,2.3,Low,No,Yes,53.4,D
636,Male,12.3,81.7,7.2,3.61,0.3,High,Yes,No,78.5,B
637,Female,14.8,97.5,5.7,2.71,2.0,High,Yes,No,66.7,C
638,Female,17.7,91.9,4.2,3.34,2.4,Medium,Yes,Yes,79.4,B
639,Female,13.2,100.0,7.5,2.11,8.3,High,Yes,Yes,74.6,B
640,Female,12.5,69.5,9.6,2.9,0.6,Medium,Yes,No,66.4,C
641,Female,15.6,82.3,8.6,3.04,1.3,High,Yes,No,67.7,C
642,Female,3.5,80.4,6.5,3.59,1.9,Low,Yes,No,59.4,C
643,Male,17.9,65.3,6.8,1.95,0.6,High,Yes,No,69.9,C
644,Male,15.0,95.6,8.0,2.92,4.6,Low,Yes,No,70.4,B
645,Female,15.2,82.3,8.3,2.25,1.0,Medium,Yes,No,68.1,C
646,Female,20.8,92.4,6.4,3.2,1.0,Low,Yes,Yes,70.8,B
647,Male,3.3,100.0,,3.37,4.7,Medium,Yes,Yes,72.0,B
648,Male,3.2,81.5,7.2,3.67,0.3,Low,Yes,No,58.3,C
649,Female,16.6,80.8,7.5,2.58,2.3,High,Yes,No,72.5,B
650,Male,15.0,86.2,6.6,3.46,1.1,Medium,Yes,No,75.2,B
651,Male,16.0,94.9,6.6,3.72,1.5,High,No,Yes,79.6,B
652,Female,12.2,79.3,8.6,1.91,2.0,Medium,Yes,No,59.0,C
653,Female,19.0,78.7,8.4,3.27,3.9,Low,Yes,No,70.5,B
654,Male,20.6,95.6,7.4,3.48,2.8,High,Yes,Yes,86.8,A
655,Female,17.9,88.8,9.0,2.74,3.1,High,Yes,Yes,77.4,B
656,Male,13.4,64.6,6.3,2.17,2.6,Medium,Yes,No,59.0,C
657,Female,2.4,72.7,8.9,3.47,2.0,High,Yes,No,77.3,B
658,Male,19.6,100.0,7.5,2.18,5.9,High,Yes,No,72.1,B
659,Female,22.3,89.0,10.0,2.79,0.2,Medium,Yes,Yes,83.0,B
660,Male,18.9,77.4,5.2,2.88,3.3,High,No,No,63.5,C
661,Male,9.7,83.3,5.9,3.33,2.0,High,Yes,Yes,76.3,B
662,Female,19.0,85.1,7.3,2.52,0.6,Medium,Yes,Yes,75.1,B
663,Male,20.2,92.4,7.3,2.49,8.1,Medium,Yes,No,71.9,B
664,Male,24.4,71.4,9.3,2.96,5.8,Low,Yes,Yes,68.8,C
665,Male,9.7,76.6,5.9,3.5,5.9,Low,Yes,No,57.6,C
666,Female,13.6,87.7,8.0,4.0,1.2,High,No,No,73.7,B
667,Female,19.5,84.0,8.3,2.0,2.6,High,No,Yes,71.3,B
668,Female,15.3,90.7,,3.09,3.6,Medium,Yes,Yes,70.7,B
669,Male,8.3,72.7,5.6,2.25,2.4,Medium,Yes,No,59.5,C
670,Male,17.5,88.6,8.6,3.51,3.0,Low,No,Yes,65.7,C
671,Male,18.5,95.9,8.4,2.34,3.0,Medium,Yes,Yes,73.2,B
672,Female,15.5,89.9,7.6,2.5,1.7,High,Yes,No,67.6,C
673,Female,16.3,86.4,7.1,2.55,1.3,Medium,Yes,Yes,70.4,B
674,Female,13.4,84.0,7.1,2.85,1.3,Low,Yes,No,63.7,C
675,Female,23.9,76.7,6.7,3.09,0.5,Medium,Yes,No,68.7,C
676,Male,9.6,84.3,7.6,3.19,5.2,Medium,No,Yes,64.9,C
677,Female,11.5,97.6,6.8,2.9,8.6,High,Yes,No,71.6,B
678,Male,15.1,83.8,5.7,2.1,2.1,High,Yes,No,61.5,C
679,Male,20.3,76.1,5.4,3.34,2.3,Medium,Yes,No,77.7,B
680,Male,6.0,80.1,5.8,2.87,15.0,Medium,Yes,Yes,66.4,C
681,Male,7.1,87.0,7.1,3.6,5.7,Medium,Yes,No,61.8,C
682,Male,2.8,81.3,6.8,2.48,4.4,Medium,Yes,Yes,59.5,C
683,Male,15.2,89.9,7.1,1.94,0.8,Medium,No,No,65.7,C
